	tm_a_hek	tm_b_hek	untr_a_hek	untr_b_hek	ribo_tm_a	ribo_tm_b	ribo_untr_a	ribo_untr_b
TBL1X	270	305	514	424	47	41	121	143
TBL1XR1	730	951	920	815	258	197	655	872
TBL2	405	481	499	432	126	92	260	398
TBL3	534	668	828	705	385	296	737	1139
TBP	157	197	197	183	113	114	272	329
TBPL1	208	254	261	212	80	61	189	255
TBRG1	225	276	324	293	38	29	39	74
TBRG4	1282	1494	1517	1300	549	341	747	1105
TBX1	95	133	175	163	64	50	156	216
TBX18	128	207	181	149	233	157	414	547
TBX2	64	93	110	96	55	34	129	156
TBX20	72	100	114	97	61	43	107	164
TBX3	269	370	349	329	164	143	248	429
TC2N	168	261	270	242	92	77	228	281
TCAIM	365	475	479	463	52	46	93	115
TCEA1	1259	1448	1668	1632	403	331	981	1282
TCEA2	62	74	91	83	51	33	101	110
TCEAL1	173	160	205	136	69	68	124	206
TCEAL4	785	901	771	708	178	173	377	665
TCEAL8	520	621	775	792	114	77	213	334
TCEANC	43	49	56	45	13	7	21	17
TCEANC2	110	128	157	151	68	40	118	127
TCEB1	719	802	838	766	432	309	865	1254
TCEB2	791	915	1102	919	1141	852	2106	2885
TCEB3	1415	1991	2150	2041	608	474	956	1313
TCERG1	2137	2737	3048	2841	1032	763	1681	2211
TCF12	353	498	485	351	214	143	481	554
TCF19	294	306	322	307	77	63	131	179
TCF20	1124	1620	1782	1508	302	231	635	779
TCF25	1037	1339	1329	1207	199	148	455	717
TCF3	416	533	533	447	117	81	300	436
TCF4	229	274	283	248	313	194	411	611
TCF7L2	55	66	110	98	235	161	373	518
TCFL5	304	415	460	427	13	12	20	37
TCHP	147	191	188	223	85	57	125	176
TCIRG1	50	74	86	58	16	9	25	36
TCOF1	3439	4613	5672	5191	1666	1188	2999	4579
TCP1	12482	15396	16137	16164	3851	2651	7548	10380
TCP11L1	178	244	344	339	55	46	140	133
TCP11L2	57	77	83	77	106	67	202	235
TCTEX1D2	38	46	47	38	37	36	89	98
TCTN1	269	335	294	258	65	48	107	194
TCTN2	210	260	306	236	69	42	146	182
TCTN3	582	736	799	664	228	150	393	537
TDG	915	1106	1135	1006	803	595	1319	1865
TDP1	568	714	780	694	191	120	340	428
TDP2	410	638	705	635	227	212	503	668
TDRD3	340	467	435	455	98	54	240	281
TDRD6	33	54	82	75	0	0	0	0
TDRD7	315	369	438	358	192	150	305	438
TDRKH	190	234	254	252	162	111	255	350
TEAD1	197	261	292	245	123	88	270	403
TEAD2	147	171	194	162	20	17	43	65
TEAD4	242	321	290	273	145	89	250	311
TEC	44	46	56	47	25	26	63	48
TECPR1	164	206	281	269	69	42	124	196
TECPR2	276	327	448	370	105	55	229	323
TECR	535	703	470	430	920	673	1791	2844
TECTA	21	29	44	43	2	2	6	5
TEF	27	33	31	29	6	10	33	30
TEFM	95	147	171	145	111	85	169	261
TELO2	557	687	895	819	335	225	582	1003
TENM1	109	168	229	164	0	0	1	1
TENM3	625	835	1007	911	372	201	443	687
TEP1	233	292	374	333	61	34	100	119
TERF1	442	626	692	678	259	187	503	689
TERF2	204	264	371	277	206	131	371	490
TERF2IP	593	737	779	814	365	268	650	979
TERT	45	46	81	53	3	0	4	4
TES	354	449	509	513	553	401	935	1374
TESC	19	39	29	31	39	27	112	147
TESK1	91	115	133	116	2	10	17	31
TESK2	44	75	73	65	11	11	37	49
TET1	796	989	1495	1288	133	80	240	307
TET2	504	636	718	605	62	50	129	163
TET3	159	192	351	263	37	32	66	146
TEX10	1701	2137	2231	1840	610	476	1113	1504
TEX14	22	29	35	34	8	11	4	7
TEX15	526	745	851	712	93	59	165	196
TEX2	518	713	751	719	94	72	179	252
TEX261	268	302	317	240	178	118	317	478
TEX264	472	524	466	398	125	105	290	445
TEX30	130	188	167	159	84	64	155	214
TEX9	132	149	147	145	39	40	92	121
TFAM	1360	1796	1993	1942	740	641	1452	1910
TFAP2A	60	63	117	84	236	166	326	599
TFAP2C	23	36	38	28	38	27	100	109
TFAP4	169	219	212	204	93	80	187	294
TFB1M	345	500	561	493	54	55	137	172
TFB2M	291	324	408	378	128	143	208	326
TFCP2	334	427	609	436	314	228	454	712
TFCP2L1	30	23	39	39	42	34	102	126
TFDP1	1080	1406	1486	1386	380	271	872	1152
TFDP2	516	634	774	655	177	131	326	355
TFE3	124	151	188	145	87	70	180	264
TFG	914	1240	1249	1023	715	509	1344	1853
TFIP11	1000	1268	1236	1108	332	240	555	874
TFPT	73	112	110	112	62	55	107	192
TFRC	3017	3592	3670	3412	753	488	1289	1955
TGDS	258	354	373	325	89	60	157	183
TGFB1	24	31	59	40	109	76	234	322
TGFBR1	394	538	579	543	132	94	231	296
TGFBR2	47	78	117	75	55	43	84	150
TGFBR3	332	401	416	387	79	57	169	249
TGFBRAP1	405	516	624	518	97	70	205	323
TGIF1	58	75	90	69	77	50	98	131
TGIF2	115	145	170	160	59	47	129	204
TGOLN2	284	390	548	512	185	154	430	624
TGS1	1186	1545	1766	1564	253	193	381	535
THADA	1629	1936	2431	2290	479	353	756	1025
THAP1	97	137	119	124	75	49	142	180
THAP10	31	29	47	39	49	29	98	157
THAP11	163	203	265	244	121	78	248	362
THAP3	78	86	134	148	87	53	161	204
THAP4	646	798	827	728	212	135	434	644
THAP5	383	535	554	526	174	153	365	439
THAP6	75	96	115	123	47	39	90	96
THAP7	401	457	445	358	93	80	162	217
THAP9	170	228	227	232	44	40	81	107
THBS3	34	75	72	56	14	4	11	20
THBS4	32	27	38	37	63	40	126	154
THEM4	138	156	197	189	107	67	157	227
THEMIS2	42	53	52	66	13	5	22	29
THG1L	210	295	322	309	100	83	136	263
THNSL1	327	357	414	392	140	106	263	394
THOC1	683	849	935	865	227	183	382	664
THOC2	5108	6577	7024	6695	1132	900	1736	2589
THOC3	2122	2474	2676	2474	723	530	1441	2108
THOC5	1272	1697	1727	1648	324	234	730	960
THOC6	416	509	513	480	144	105	228	389
THOC7	685	919	1142	1099	198	170	496	580
THOP1	1285	1508	1647	1616	318	227	675	1029
THRA	86	101	122	122	19	13	57	67
THRAP3	3615	4603	4595	4080	1577	1184	2352	3413
THRB	48	46	82	62	31	32	64	113
THSD1	63	60	81	59	20	11	28	24
THSD4	23	37	35	39	21	8	24	47
THTPA	65	78	91	68	27	20	65	93
THUMPD1	497	536	544	469	156	115	217	277
THUMPD2	528	603	681	613	113	94	270	284
THUMPD3	1017	1333	1393	1401	399	281	728	859
THYN1	289	364	402	339	116	93	280	327
TIA1	621	835	798	710	220	153	391	556
TIAL1	614	852	1380	1337	491	340	962	1320
TIAM1	981	1177	1394	1151	117	115	260	372
TIAM2	62	78	107	85	38	19	78	87
TICRR	1226	1647	2397	2136	278	205	482	639
TIFA	31	44	58	58	36	27	90	90
TIGD1	213	256	379	358	73	43	196	217
TIGD2	120	176	206	223	35	32	81	124
TIGD5	105	130	186	149	60	45	127	187
TIGD6	78	106	90	82	62	26	81	112
TIGD7	49	73	85	76	4	0	4	9
TIMELESS	1193	1840	1863	1826	554	398	1128	1634
TIMM10	207	230	273	241	215	103	280	509
TIMM10B	42	51	63	72	95	55	86	144
TIMM13	375	514	606	630	539	386	967	1520
TIMM17A	1062	1434	1141	1105	354	272	676	859
TIMM17B	378	442	470	414	269	162	528	758
TIMM21	239	285	228	227	160	92	267	433
TIMM22	253	303	441	471	171	153	311	513
TIMM23	1335	1697	1897	1732	1519	996	2448	3614
TIMM44	921	1177	1255	1128	397	289	746	1091
TIMM50	1175	1427	1497	1585	1419	940	2310	3520
TIMM8A	125	189	205	217	123	80	233	346
TIMM8B	232	303	336	336	511	316	687	1007
TIMM9	81	122	93	64	56	44	107	134
TIMMDC1	726	954	1211	1179	325	197	567	711
TIMP1	291	353	318	307	606	372	1137	1641
TIMP2	36	50	68	48	92	53	152	233
TIMP3	63	71	66	55	87	66	229	309
TINF2	215	279	275	227	64	43	112	115
TIPARP	426	558	473	405	266	202	374	497
TIPIN	1113	1254	1404	1354	528	377	1056	1177
TIPRL	970	1189	1258	1223	492	379	1079	1447
TJAP1	162	208	251	244	125	79	238	335
TJP1	984	1297	1637	1590	846	634	1556	2142
TJP2	542	733	724	692	389	283	668	1022
TK1	563	685	665	613	382	271	675	1032
TK2	48	54	70	59	16	13	24	42
TKT	4289	5252	4749	4027	2400	1710	5513	7816
TLCD1	49	76	63	64	37	29	63	87
TLDC1	127	148	161	134	76	70	155	206
TLE1	445	614	625	558	264	161	493	682
TLE3	403	541	695	486	452	293	793	1257
TLE4	407	599	652	509	265	157	454	644
TLK1	430	577	840	707	75	60	194	239
TLK2	1093	1329	1525	1424	271	215	589	822
TLL1	35	36	57	35	0	0	3	1
TLN1	2690	3586	5217	4509	1703	1251	3073	4612
TLN2	281	428	531	468	41	18	95	109
TLR9	73	80	80	72	42	23	68	115
TM2D1	265	317	405	380	108	74	188	278
TM2D2	198	275	232	205	105	60	138	261
TM2D3	367	465	497	406	183	110	292	440
TM7SF2	120	160	145	111	49	20	72	126
TM7SF3	627	765	770	692	155	117	382	505
TM9SF1	555	698	760	729	318	212	498	782
TM9SF2	2069	2557	2676	2361	1053	649	1937	2952
TM9SF3	1959	2637	2750	2965	982	621	1691	2425
TM9SF4	516	640	818	695	246	171	446	678
TMA16	447	597	614	583	139	119	332	434
TMA7	1072	1571	1559	1731	445	371	661	1114
TMBIM4	224	284	292	256	159	101	298	499
TMBIM6	2121	2710	2805	2461	3857	2781	6202	9448
TMC6	70	71	75	58	11	4	40	34
TMC7	30	51	59	48	18	12	34	39
TMCC1	99	141	170	141	22	10	38	47
TMCC2	34	53	59	40	0	2	2	5
TMCO1	1121	1290	1305	1351	857	584	1351	1698
TMCO3	287	353	394	312	60	43	161	234
TMCO4	46	57	74	59	45	24	64	100
TMCO6	90	132	154	139	43	27	70	91
TMED1	185	204	224	198	84	61	117	217
TMED10	1008	1266	1340	1389	479	259	897	1337
TMED2	1420	1764	1713	1558	1098	836	1779	2921
TMED3	478	553	510	474	134	81	286	419
TMED4	377	505	574	497	390	283	835	1138
TMED5	655	810	869	903	223	127	428	555
TMED7-TICAM2	302	347	305	351	435	273	807	1126
TMED8	201	263	339	297	74	47	148	197
TMED9	697	960	1124	1144	705	440	1181	1877
TMEM101	110	133	143	132	179	117	352	456
TMEM102	29	33	34	43	32	18	32	57
TMEM104	59	86	115	80	113	82	150	266
TMEM106B	434	538	542	477	172	110	376	427
TMEM106C	1265	1450	1363	1183	207	125	347	481
TMEM109	354	395	466	408	307	183	503	935
TMEM11	194	249	215	218	78	83	176	236
TMEM110-MUSTN1	215	283	313	303	26	12	34	71
TMEM115	331	449	523	467	136	83	226	394
TMEM116	40	47	46	45	16	8	17	22
TMEM117	88	122	135	94	31	25	66	100
TMEM120A	67	77	55	50	45	33	108	140
TMEM120B	121	169	189	163	86	59	196	238
TMEM123	750	915	594	442	361	233	859	1036
TMEM126A	222	255	271	170	95	79	207	275
TMEM126B	433	574	491	449	156	100	327	468
TMEM127	39	47	52	44	43	28	75	155
TMEM128	83	126	96	116	40	21	65	79
TMEM129	164	179	176	150	55	38	87	150
TMEM131	715	960	1224	1038	215	147	394	511
TMEM132A	235	287	338	307	56	29	113	191
TMEM134	26	47	38	32	7	8	14	41
TMEM135	268	367	318	254	117	87	243	309
TMEM136	45	63	56	54	23	15	67	68
TMEM138	113	144	128	88	64	34	83	119
TMEM141	121	157	175	148	93	53	200	242
TMEM143	21	35	43	47	11	11	17	32
TMEM144	68	92	78	78	28	15	60	59
TMEM147	664	790	736	682	981	698	1916	2704
TMEM14A	160	215	226	189	65	28	96	198
TMEM14B	296	342	325	268	274	167	362	545
TMEM14C	215	252	255	243	322	228	486	910
TMEM160	67	80	89	82	117	76	162	245
TMEM161A	455	506	594	536	198	142	414	768
TMEM161B	259	363	341	312	161	108	301	401
TMEM164	127	165	150	127	113	70	184	258
TMEM165	592	820	789	731	218	142	454	675
TMEM167A	173	256	252	225	178	116	255	377
TMEM167B	38	47	63	59	59	28	68	92
TMEM168	327	405	465	433	108	45	164	248
TMEM170A	78	60	80	76	30	23	44	84
TMEM170B	38	53	82	88	7	13	18	31
TMEM175	69	106	98	67	38	21	71	108
TMEM177	235	301	319	256	120	67	161	202
TMEM179B	222	287	270	251	145	101	305	462
TMEM18	266	309	362	299	76	51	110	210
TMEM180	84	89	97	92	34	25	41	58
TMEM181	398	480	515	456	128	93	252	422
TMEM183A	1345	1612	1851	1604	70	46	185	195
TMEM184B	261	341	375	270	76	49	173	245
TMEM184C	299	376	406	316	98	66	167	209
TMEM185A	141	179	224	197	126	79	177	284
TMEM185B	96	145	160	127	202	125	294	568
TMEM186	80	78	103	100	30	30	64	80
TMEM189-UBE2V1	286	417	582	514	676	447	1241	1850
TMEM19	242	315	296	260	164	85	234	402
TMEM192	257	307	299	282	105	61	176	226
TMEM194A	451	576	739	707	401	256	675	1062
TMEM194B	62	80	104	87	31	14	38	66
TMEM199	111	143	159	148	104	69	169	295
TMEM2	453	549	542	455	90	46	127	199
TMEM201	97	139	190	161	265	173	490	791
TMEM203	86	92	129	112	55	36	96	148
TMEM205	194	217	225	167	304	201	654	884
TMEM206	278	289	386	301	53	53	124	185
TMEM208	242	299	271	273	167	95	187	339
TMEM209	470	602	663	511	552	425	1188	1340
TMEM214	240	265	393	364	239	173	496	711
TMEM216	28	45	49	47	25	16	43	62
TMEM218	32	42	41	33	19	10	18	36
TMEM219	213	264	291	263	41	29	94	172
TMEM222	121	188	145	144	182	118	296	415
TMEM223	109	132	134	79	55	31	102	127
TMEM230	250	289	248	204	353	235	583	762
TMEM231	38	41	64	43	25	13	46	50
TMEM234	28	40	28	34	13	14	25	53
TMEM237	634	774	770	628	140	93	228	331
TMEM241	66	79	108	68	26	20	38	65
TMEM242	100	138	163	184	123	86	240	295
TMEM243	127	134	150	121	29	22	75	60
TMEM245	590	748	874	771	162	97	293	473
TMEM246	174	207	220	163	63	41	131	145
TMEM248	327	436	393	315	192	88	308	389
TMEM25	55	50	68	60	24	19	61	81
TMEM251	62	85	109	86	63	49	83	116
TMEM256	163	219	213	132	186	126	388	551
TMEM258	431	479	360	253	212	129	357	533
TMEM259	672	802	766	661	244	146	491	680
TMEM260	126	159	167	151	34	22	64	107
TMEM30A	467	613	659	626	529	325	1010	1323
TMEM33	710	990	1019	922	565	410	1214	1595
TMEM38A	24	27	28	24	25	26	37	58
TMEM38B	462	591	619	573	211	164	475	699
TMEM39A	322	394	292	226	91	71	137	255
TMEM39B	191	209	248	234	84	58	143	222
TMEM41A	75	94	119	104	69	40	78	150
TMEM41B	261	328	303	280	185	114	295	471
TMEM42	38	47	53	39	10	6	13	17
TMEM43	497	562	659	573	277	191	517	796
TMEM45A	75	88	79	63	20	17	65	92
TMEM47	31	46	56	41	1	0	0	0
TMEM5	398	486	542	418	62	49	99	148
TMEM50A	415	536	472	471	601	449	946	1480
TMEM54	47	56	48	32	21	17	81	96
TMEM55B	167	201	185	174	102	61	171	206
TMEM56	91	124	122	103	53	35	110	178
TMEM57	387	498	525	430	161	120	320	421
TMEM59	951	1158	1197	1024	892	507	1444	2077
TMEM60	74	94	101	98	34	20	56	70
TMEM62	142	196	161	158	56	21	96	110
TMEM63A	144	223	220	181	68	50	128	147
TMEM63B	190	277	272	207	97	65	209	268
TMEM64	110	157	154	130	52	26	76	125
TMEM65	119	190	212	155	111	90	247	311
TMEM66	718	887	876	842	477	288	860	1317
TMEM67	365	415	431	388	69	42	137	177
TMEM68	103	115	129	117	35	27	70	100
TMEM69	246	285	282	235	387	260	729	930
TMEM70	412	530	509	465	432	269	707	953
TMEM74	22	37	23	20	6	6	17	17
TMEM74B	27	32	23	39	8	1	14	14
TMEM80	39	53	38	46	20	13	32	46
TMEM81	37	33	57	66	0	0	0	0
TMEM87A	523	628	689	704	172	124	283	431
TMEM87B	67	79	92	97	57	37	96	151
TMEM8A	284	322	288	292	38	34	102	166
TMEM9	282	390	349	312	264	155	421	620
TMEM97	220	276	263	189	183	123	328	461
TMEM98	180	181	205	209	66	57	176	204
TMEM99	104	122	141	114	19	22	32	50
TMEM9B	102	117	121	84	73	41	109	122
TMF1	1244	1596	1840	1684	280	223	600	812
TMLHE	320	397	432	342	181	137	379	473
TMOD2	88	116	115	95	33	20	84	120
TMOD3	261	364	399	380	435	280	911	1123
TMPO	1797	2193	2499	2313	1765	1331	3097	4296
TMPPE	54	65	122	81	22	23	48	87
TMSB10	118	145	176	104	534	501	1062	1290
TMSB15A	23	31	36	35	13	10	24	28
TMSB15B	35	24	43	38	15	11	30	29
TMSB4X	18	48	62	67	36	32	60	96
TMTC1	165	203	222	169	53	24	115	129
TMTC2	95	149	158	122	52	21	74	122
TMTC3	1206	1546	1654	1431	456	331	962	1292
TMTC4	262	332	312	296	34	21	67	102
TMUB1	183	198	222	210	73	85	213	221
TMUB2	125	134	151	107	96	53	138	171
TMX1	1126	1468	1572	1504	395	255	726	1050
TMX2	667	800	736	714	357	267	686	1086
TMX3	338	482	473	505	214	116	331	514
TMX4	360	455	450	504	99	73	162	272
TNFAIP1	94	129	114	127	50	43	115	159
TNFAIP3	44	64	74	53	15	23	36	51
TNFAIP8	45	55	44	40	34	39	87	118
TNFRSF10B	395	441	526	507	323	194	433	718
TNFRSF10D	102	149	144	135	84	52	150	235
TNFRSF11A	66	69	85	74	40	27	100	142
TNFRSF19	23	38	30	31	24	20	65	96
TNFRSF1A	124	132	185	163	178	117	252	352
TNFRSF21	136	167	192	189	79	46	109	184
TNIK	450	616	670	592	259	159	359	540
TNIP1	384	519	576	552	175	124	273	441
TNIP2	138	206	233	237	52	35	114	150
TNK2	112	122	215	150	40	18	60	55
TNKS	526	662	867	769	317	189	499	694
TNKS1BP1	425	619	864	824	142	95	200	315
TNKS2	1133	1586	1833	1625	492	347	1139	1406
TNNI3	53	59	53	53	13	6	13	14
TNNT1	72	78	102	107	17	13	36	47
TNPO1	4583	5573	5838	5136	1435	1081	2695	3363
TNPO2	972	1153	1452	1212	782	537	1095	1733
TNPO3	1530	2031	2260	2122	725	453	1255	1711
TNRC18	581	817	1362	1204	258	163	336	570
TNRC6A	1254	1745	2041	1741	160	109	432	523
TNRC6B	1003	1337	1482	1242	336	230	476	695
TNRC6C	227	352	460	397	63	46	138	216
TNS3	66	85	85	73	28	17	45	70
TOB1	140	200	217	199	276	220	471	759
TOB2	74	102	136	137	116	81	179	359
TOE1	421	455	553	511	237	131	342	485
TOLLIP	73	89	121	105	91	63	167	283
TOM1	183	190	218	206	124	89	221	292
TOM1L1	630	755	753	654	221	183	475	668
TOM1L2	202	237	352	309	99	68	178	234
TOMM20	2214	2916	2766	2582	824	622	1561	2341
TOMM22	1223	1382	1555	1465	408	265	766	1202
TOMM34	513	684	788	785	398	313	900	1189
TOMM40	1643	2034	2000	1779	626	450	1320	2142
TOMM40L	154	198	204	213	73	48	102	176
TOMM5	82	113	212	256	243	132	295	386
TOMM6	396	549	616	580	540	374	1101	1420
TOMM7	498	659	761	576	264	214	372	650
TOMM70A	1738	2245	2616	2361	767	578	1415	1745
TONSL	599	777	985	805	172	122	237	453
TOP1	1498	2036	3427	3222	2234	1702	3715	5333
TOP1MT	337	534	454	415	108	69	191	294
TOP2A	7441	9090	10367	9739	3183	2351	5257	8347
TOP2B	6298	8376	9763	9621	1148	820	2274	3021
TOP3A	924	1334	1637	1375	149	123	287	431
TOP3B	658	816	920	850	146	95	219	369
TOPBP1	2650	3439	3731	3399	521	418	1180	1413
TOPORS	1093	1314	1299	1189	271	233	352	494
TOR1A	392	435	518	410	269	177	420	631
TOR1AIP1	584	750	761	683	295	179	491	611
TOR1AIP2	1040	1368	1583	1309	201	141	495	601
TOR1B	127	166	188	164	91	72	163	235
TOR2A	55	70	87	57	27	35	58	95
TOR3A	402	532	620	587	118	74	201	280
TOX4	686	848	732	602	412	269	639	936
TP53	438	620	688	580	402	341	839	1218
TP53BP1	1742	2176	2571	2340	715	491	1236	1756
TP53BP2	1391	1737	2084	1886	446	276	741	1019
TP53I11	26	33	36	39	29	19	63	86
TP53I13	84	122	151	110	64	26	90	190
TP53I3	59	74	66	65	69	41	132	141
TP53INP1	18	28	30	21	42	38	84	143
TP53RK	200	287	300	298	110	76	207	314
TP73	47	60	65	50	81	57	172	247
TPBG	74	95	94	67	144	114	257	416
TPCN1	86	114	155	132	82	43	126	164
TPCN2	126	139	159	177	40	23	56	99
TPD52	195	257	300	217	256	149	495	682
TPD52L1	83	99	110	107	76	89	265	308
TPD52L2	268	343	402	370	350	227	621	930
TPGS1	30	47	58	54	62	52	83	182
TPGS2	431	513	596	504	152	100	343	448
TPI1	8091	9571	11151	10779	5152	3471	10621	15468
TPM1	314	361	440	461	145	114	332	453
TPM2	35	49	54	76	13	11	11	26
TPM3	1101	1305	1755	1658	796	580	1472	2233
TPM4	439	581	671	783	492	328	1164	1648
TPMT	339	428	456	467	105	82	242	328
TPP1	148	176	309	284	128	67	231	355
TPP2	1556	1915	2070	1874	689	488	1302	1822
TPR	12005	16792	17569	16808	1809	1318	3277	4163
TPRA1	185	206	199	155	95	63	150	253
TPRG1L	64	60	66	67	78	67	155	284
TPRKB	465	611	470	462	279	202	496	629
TPRN	178	222	236	223	78	53	126	247
TPST1	152	203	214	194	27	16	44	68
TPST2	114	126	155	125	22	13	32	53
TPT1	8936	10425	11052	10398	1366	978	3803	6187
TPX2	2403	3128	3944	3593	1071	867	2009	2430
TRA2A	842	1081	1139	1018	760	648	1218	1885
TRA2B	2054	2759	2260	2064	1368	1036	2619	3511
TRABD	308	422	514	462	191	135	397	629
TRADD	30	26	33	41	23	13	33	70
TRAF2	234	307	391	432	159	112	267	495
TRAF3	357	476	539	523	52	37	139	144
TRAF3IP1	327	361	408	387	109	93	206	356
TRAF3IP2	52	67	78	63	55	48	111	154
TRAF4	235	318	308	255	120	44	189	262
TRAF5	136	190	200	210	83	64	140	177
TRAF6	237	286	332	298	128	75	162	230
TRAF7	521	673	681	549	112	44	182	293
TRAFD1	596	740	751	653	486	362	723	1109
TRAIP	327	394	422	435	84	48	127	230
TRAK1	343	451	550	499	38	28	64	101
TRAK2	384	494	489	428	32	32	71	72
TRAM1	1739	2089	1760	1447	452	316	934	1312
TRAM1L1	32	44	34	34	11	10	17	13
TRAM2	57	73	124	93	84	50	134	169
TRAP1	2972	3792	4108	3932	1551	1101	3244	4082
TRAPPC1	132	136	185	143	308	217	546	855
TRAPPC10	815	1089	1285	1246	166	104	288	421
TRAPPC11	610	725	832	779	233	153	405	556
TRAPPC12	366	465	554	524	135	88	251	390
TRAPPC13	508	627	589	588	156	116	274	368
TRAPPC2	80	113	134	119	91	94	198	248
TRAPPC2L	373	496	471	487	185	134	325	454
TRAPPC3	386	464	469	472	342	237	549	929
TRAPPC4	417	439	476	422	254	171	373	600
TRAPPC5	224	332	297	234	427	288	878	1111
TRAPPC6A	39	51	42	46	31	20	39	64
TRAPPC6B	89	145	106	111	55	36	113	130
TRAPPC8	1080	1379	1431	1354	307	211	527	624
TRAPPC9	123	219	307	223	126	80	223	344
TRDMT1	98	115	138	144	60	48	123	140
TREX1	27	37	39	27	0	0	1	0
TRIAP1	24	36	34	39	129	114	210	338
TRIB1	118	163	153	110	209	139	329	497
TRIB3	100	101	132	130	91	49	113	171
TRIM11	262	341	447	415	116	90	209	329
TRIM13	312	407	411	409	241	135	337	464
TRIM14	38	50	78	92	59	34	132	189
TRIM16	191	203	291	248	14	6	17	26
TRIM16L	197	225	259	217	9	6	15	18
TRIM2	249	268	322	290	145	114	259	323
TRIM21	69	72	85	80	50	41	64	122
TRIM23	365	550	531	536	192	111	315	427
TRIM24	773	994	1048	828	521	334	895	1204
TRIM25	250	338	394	324	499	365	859	1334
TRIM26	227	311	334	356	178	135	293	444
TRIM27	1349	1660	1719	1518	458	291	683	1074
TRIM28	6708	8239	9365	8149	4059	2875	6886	11185
TRIM3	82	104	102	104	21	7	41	64
TRIM32	168	227	294	258	116	93	181	281
TRIM33	1318	1640	1888	1716	482	347	824	1096
TRIM35	105	135	191	171	99	60	143	269
TRIM36	80	95	90	86	60	36	104	120
TRIM37	1264	1558	1741	1635	168	116	352	437
TRIM38	61	79	111	93	67	49	135	134
TRIM39-RPP21	238	334	408	304	197	135	331	505
TRIM4	252	365	405	351	126	90	230	353
TRIM41	353	465	440	520	60	46	90	184
TRIM44	225	267	273	286	173	121	291	460
TRIM45	89	118	129	120	19	10	42	63
TRIM47	18	32	34	36	22	11	26	34
TRIM5	33	42	40	52	67	53	87	115
TRIM52	128	149	187	192	23	18	39	58
TRIM59	288	362	445	437	95	64	199	214
TRIM62	25	27	51	25	23	15	36	46
TRIM65	316	353	413	325	150	121	265	373
TRIM66	67	76	153	121	10	1	10	7
TRIM68	92	78	125	98	31	29	52	92
TRIM71	57	80	92	95	6	4	7	11
TRIM8	133	184	239	236	65	59	155	277
TRIM9	128	168	194	200	94	70	180	222
TRIO	1596	2070	2625	2228	219	144	506	638
TRIOBP	219	257	350	308	94	65	214	288
TRIP10	215	263	293	291	103	71	221	325
TRIP11	1024	1567	1648	1627	285	255	578	731
TRIP12	4817	5980	7085	5959	1727	1225	2923	3792
TRIP13	739	978	882	802	755	532	1493	1885
TRIP4	146	197	261	229	189	137	323	423
TRIP6	517	670	671	670	713	444	1172	1838
TRIT1	318	423	410	381	130	107	245	300
TRMT1	999	1153	1237	1141	349	272	558	1002
TRMT10A	201	272	289	248	80	54	164	226
TRMT10B	61	68	80	82	29	9	43	53
TRMT10C	1904	2202	2228	2177	645	529	1055	1389
TRMT11	824	1092	1370	1369	169	158	382	403
TRMT112	930	1152	1238	1096	457	331	791	1382
TRMT12	262	337	410	347	67	30	110	112
TRMT13	301	398	465	513	163	145	329	444
TRMT1L	693	783	887	876	350	241	591	721
TRMT2A	895	1068	1173	1156	324	246	618	946
TRMT2B	311	381	478	438	86	63	123	139
TRMT44	243	312	380	345	71	38	106	160
TRMT5	478	580	603	540	237	168	400	435
TRMT6	646	837	876	800	283	234	523	717
TRMT61A	205	279	278	251	223	159	397	662
TRMT61B	290	361	384	352	69	52	137	182
TRMU	626	717	732	760	243	148	449	684
TRNAU1AP	407	511	584	531	101	78	199	266
TRNT1	266	375	441	487	88	55	188	210
TRO	442	509	509	447	201	166	273	351
TROAP	439	522	592	480	315	229	499	699
TROVE2	1137	1434	1592	1530	547	426	1073	1208
TRPC1	367	448	491	509	32	33	73	81
TRPC3	29	48	58	53	27	8	38	37
TRPC4AP	1341	1681	1725	1580	516	369	868	1274
TRPM4	38	52	63	75	15	10	25	32
TRPM7	1469	1815	2122	1910	132	79	226	241
TRPS1	428	533	615	552	139	93	229	276
TRPT1	85	125	108	115	28	24	81	104
TRPV1	104	133	189	158	7	0	6	10
TRRAP	2268	3540	5328	4410	1308	863	2286	3030
TRUB1	462	623	671	570	384	242	612	836
TRUB2	527	599	631	562	321	223	662	840
TSC1	424	532	631	580	133	80	195	241
TSC2	923	1384	1566	1348	290	217	537	910
TSC22D1	290	367	519	440	153	95	273	348
TSC22D2	202	252	338	277	103	76	207	320
TSC22D3	242	347	371	395	209	129	340	480
TSC22D4	57	95	105	102	53	33	90	153
TSEN15	137	169	191	182	54	43	99	160
TSEN2	354	447	478	451	129	78	218	296
TSEN34	397	464	473	403	232	148	476	621
TSEN54	320	375	387	365	101	66	181	258
TSFM	648	896	953	857	663	478	1051	1635
TSG101	394	502	482	412	483	364	933	1226
TSGA10	54	78	90	91	5	6	13	14
TSHZ1	287	373	381	331	36	17	69	90
TSHZ2	30	33	49	39	3	4	5	10
TSHZ3	58	65	101	75	45	28	125	155
TSKU	39	39	40	30	15	13	32	45
TSN	699	908	953	879	435	334	784	1178
TSNARE1	36	51	63	58	15	17	30	47
TSNAX	1129	1446	1570	1509	500	405	956	1319
