	isrib_a_hek	isrib_b_hek	untr_a_hek	untr_b_hek
PINK1	569	366	515	458
PIP4K2A	330	264	337	331
PIP4K2B	244	254	312	280
PIP4K2C	239	224	267	247
PIP5K1A	1708	1308	1667	1433
PIP5K1B	48	44	36	29
PIP5K1C	123	121	151	137
PIR	236	178	251	237
PISD	255	172	248	226
PITHD1	404	231	374	370
PITPNA	300	246	290	280
PITPNB	560	618	713	741
PITPNC1	80	72	97	79
PITPNM1	172	131	152	138
PITPNM2	48	68	68	41
PITRM1	2193	1635	1996	1645
PITX1	210	135	208	154
PITX2	75	47	78	81
PJA1	561	408	556	583
PJA2	1211	971	1298	1226
PKD1	2018	1942	2392	1951
PKD2	471	464	603	654
PKDCC	67	56	97	76
PKIA	37	24	23	17
PKIG	43	25	34	43
PKM	13274	10670	14089	13502
PKMYT1	259	251	299	260
PKN1	1241	1032	1410	1299
PKN2	2134	1922	2720	2535
PKN3	360	292	385	337
PKNOX1	386	298	389	319
PKNOX2	62	47	58	44
PKP2	283	237	318	291
PKP4	1572	1121	1502	1276
PLA2G12A	382	234	357	342
PLA2G15	76	65	78	90
PLA2G16	43	32	42	46
PLA2G4A	461	307	499	423
PLA2G6	87	105	102	84
PLAA	1164	869	1134	1013
PLAC1	53	24	28	35
PLAG1	95	103	101	94
PLAGL1	285	294	349	295
PLAGL2	297	377	446	358
PLAT	354	278	323	320
PLAUR	33	32	43	38
PLBD2	128	237	238	196
PLCB1	361	284	374	380
PLCB3	594	532	648	559
PLCB4	173	166	250	208
PLCD1	67	47	71	54
PLCD3	162	157	168	126
PLCE1	250	235	321	283
PLCG1	1724	1560	1850	1638
PLCG2	201	200	198	208
PLCH1	328	307	369	369
PLCL1	37	36	39	34
PLCL2	546	419	702	581
PLCXD1	410	360	488	398
PLCXD2	32	39	36	36
PLD1	94	60	89	98
PLD2	166	135	187	150
PLD3	671	507	693	575
PLD6	193	128	175	147
PLEC	785	1023	1380	1091
PLEKHA1	416	339	471	400
PLEKHA2	31	25	33	29
PLEKHA3	273	215	284	251
PLEKHA5	462	354	448	392
PLEKHA7	113	106	160	123
PLEKHA8	494	393	579	604
PLEKHB2	322	266	375	362
PLEKHF2	95	75	122	110
PLEKHG1	41	57	70	48
PLEKHG2	134	173	199	116
PLEKHG3	317	299	391	363
PLEKHG4	532	402	456	390
PLEKHG5	60	59	93	70
PLEKHH1	222	242	280	251
PLEKHH2	182	147	187	169
PLEKHH3	80	69	121	123
PLEKHJ1	219	166	243	235
PLEKHM1	293	323	359	298
PLEKHM2	628	498	641	558
PLEKHM3	252	263	301	261
PLEKHO1	273	200	263	251
PLEKHO2	40	42	49	43
PLGRKT	87	70	78	108
PLIN2	391	294	452	462
PLIN3	212	132	195	177
PLK1	1300	1205	1422	1224
PLK1S1	380	306	366	366
PLK2	84	82	104	68
PLK4	1333	1000	1311	1121
PLOD1	701	524	673	627
PLOD2	1544	1045	1575	1598
PLOD3	336	375	461	438
PLRG1	1708	1223	1821	1477
PLS1	564	444	618	574
PLS3	12377	8836	13296	12718
PLSCR1	330	273	405	370
PLTP	180	158	201	130
PLXDC2	121	97	138	93
PLXNA1	1302	1285	1537	1338
PLXNA2	85	127	143	97
PLXNA3	216	267	267	224
PLXNB1	133	121	136	142
PLXNB2	673	665	826	707
PLXND1	146	167	155	143
PM20D2	458	367	616	592
PMAIP1	56	38	47	53
PMF1-BGLAP	498	289	449	447
PMFBP1	54	53	55	44
PML	94	98	113	92
PMM1	113	105	137	137
PMM2	359	311	409	432
PMP22	51	38	36	29
PMPCA	1533	1148	1604	1554
PMPCB	1842	1191	1944	1719
PMS1	872	651	978	956
PMS2	631	499	705	725
PMVK	119	105	125	136
PNISR	2604	1717	2412	2289
PNKD	43	28	63	48
PNKP	300	254	306	326
PNMA1	327	323	507	414
PNMA2	104	81	114	105
PNMA6C	208	148	279	275
PNMAL1	303	249	360	412
PNN	5160	3315	4429	4585
PNO1	600	410	583	507
PNP	1003	791	998	886
PNPLA2	269	330	402	324
PNPLA3	199	151	188	145
PNPLA4	45	30	37	32
PNPLA6	270	255	339	269
PNPLA8	499	408	456	471
PNPO	279	269	327	289
PNPT1	1930	1384	2109	1832
PNRC1	261	248	281	278
PNRC2	626	371	431	378
POC1A	392	343	446	361
POC5	300	250	364	329
PODXL	100	85	89	64
PODXL2	931	658	899	770
POFUT1	461	390	453	452
POFUT2	169	148	200	205
POGK	1192	1008	1409	1367
POGLUT1	276	202	258	223
POGZ	968	1273	1460	1216
POLA1	3703	3108	4522	4396
POLA2	1392	1106	1450	1251
POLB	464	337	498	423
POLD1	1420	1179	1566	1325
POLD2	1753	1195	1651	1534
POLD3	904	698	883	788
POLDIP2	820	580	838	696
POLDIP3	579	455	482	433
POLE	3534	3367	3981	3491
POLE2	579	407	622	478
POLE3	955	674	816	893
POLE4	238	156	285	322
POLG	2096	1787	2347	2116
POLG2	328	269	439	485
POLH	494	435	541	437
POLI	151	127	180	157
POLK	528	415	647	558
POLL	213	169	209	210
POLM	100	71	125	88
POLN	211	188	246	225
POLQ	3153	2564	3608	3325
POLR1A	2078	1973	2502	1985
POLR1B	2302	1884	2713	2383
POLR1C	1049	761	996	962
POLR1D	138	120	158	161
POLR1E	991	775	1123	997
POLR2A	2726	5018	5100	4033
POLR2B	5886	4046	6076	6057
POLR2C	993	759	992	961
POLR2D	249	165	191	162
POLR2E	893	572	716	591
POLR2F	1713	1154	1786	1925
POLR2G	979	626	916	837
POLR2H	556	390	634	561
POLR2I	407	261	415	389
POLR2J	862	413	493	361
POLR2J2	1510	1121	1144	809
POLR2J3	1728	1220	1281	926
POLR2K	189	96	196	177
POLR2L	463	243	415	423
POLR3A	1805	1756	2194	1937
POLR3B	1185	944	1212	1137
POLR3C	973	660	915	818
POLR3D	409	344	481	456
POLR3E	1384	1078	1477	1366
POLR3F	219	172	235	218
POLR3G	195	136	250	259
POLR3GL	131	73	140	120
POLR3H	416	333	455	373
POLR3K	225	139	233	219
POLRMT	885	724	1041	925
POM121	605	1003	1037	653
POM121C	518	982	927	567
POMGNT1	655	475	642	582
POMP	1615	1106	1591	1626
POMT1	404	335	468	376
POMT2	429	452	482	365
POMZP3	85	111	110	65
PON2	509	353	473	423
POP1	1137	866	1199	1102
POP4	406	298	416	424
POP5	265	151	269	244
POP7	367	201	306	272
POPDC3	78	48	62	49
POR	721	546	672	627
PORCN	66	56	84	62
POT1	452	290	411	402
POTEE	464	541	961	1123
POTEF	45	46	38	36
POU2F1	368	308	327	265
POU3F2	66	44	55	74
POU3F3	39	28	35	38
POU4F1	92	71	93	95
PPA1	5420	3594	6181	5762
PPA2	1411	1008	1720	1811
PPAN-P2RY11	945	699	933	874
PPAP2A	77	55	69	55
PPAP2B	65	54	68	53
PPAPDC1B	45	46	55	42
PPARA	54	63	71	61
PPARD	71	87	95	69
PPARG	267	209	308	264
PPARGC1B	198	224	282	273
PPAT	1848	1311	2030	2115
PPCDC	136	112	160	165
PPCS	152	94	164	122
PPDPF	70	70	56	49
PPFIA1	1819	1595	1897	1668
PPFIA2	52	36	51	54
PPFIA3	142	141	188	144
PPFIA4	38	26	40	39
PPFIBP1	399	379	474	396
PPFIBP2	33	37	38	30
PPHLN1	827	631	829	783
PPIA	19164	12747	19484	17823
PPIAL4B	2166	1305	1836	1020
PPIAL4D	748	453	636	377
PPIAL4E	720	434	607	344
PPIAL4F	748	453	636	377
PPIAL4G	1733	1027	1342	888
PPIB	2797	2104	2831	2637
PPIC	174	125	203	188
PPID	894	557	865	864
PPIE	527	326	550	560
PPIF	719	470	656	564
PPIG	2368	1739	2119	2106
PPIH	807	491	902	777
PPIL1	585	414	547	533
PPIL2	466	409	459	373
PPIL3	148	119	175	121
PPIL4	1199	917	1298	1218
PPIP5K1	1061	982	1376	1138
PPIP5K2	1466	1021	1639	1569
PPM1A	516	448	657	654
PPM1B	640	449	646	669
PPM1D	482	375	500	478
PPM1E	212	188	221	239
PPM1F	585	494	692	635
PPM1G	3448	2496	3429	3130
PPM1H	116	90	148	116
PPM1K	210	189	254	267
PPM1L	92	97	128	95
PPM1M	68	74	87	84
PPME1	468	415	581	537
PPOX	105	94	156	105
PPP1CA	1712	1248	1873	1655
PPP1CB	1621	1196	1808	1794
PPP1CC	2354	1738	2522	2470
PPP1R10	672	801	937	787
PPP1R11	71	58	71	64
PPP1R12A	1816	1360	1776	1657
PPP1R12B	243	261	374	293
PPP1R12C	335	279	360	384
PPP1R13B	257	241	289	210
PPP1R14B	1268	850	1612	1648
PPP1R14C	67	49	77	75
PPP1R15A	244	193	212	244
PPP1R15B	1944	1689	1989	1885
PPP1R16A	149	120	173	173
PPP1R18	40	47	52	51
PPP1R2	404	246	409	354
PPP1R21	284	258	367	283
PPP1R26	341	249	352	358
PPP1R35	132	87	186	179
PPP1R37	171	147	187	170
PPP1R3B	35	40	64	64
PPP1R3F	50	53	55	59
PPP1R7	772	536	830	886
PPP1R8	1664	1111	1512	1281
PPP1R9A	428	363	479	457
PPP1R9B	421	366	530	569
PPP2CB	443	328	428	411
PPP2R1A	2788	2462	3175	2822
PPP2R1B	1098	763	1185	1136
PPP2R2D	585	401	650	613
PPP2R3A	180	197	251	229
PPP2R3B	444	378	526	464
PPP2R3C	471	279	417	433
PPP2R4	791	593	814	748
PPP2R5A	579	449	664	551
PPP2R5B	91	87	104	96
PPP2R5C	1393	910	1384	1334
PPP2R5D	1066	827	1061	893
PPP2R5E	321	377	374	363
PPP3CA	532	432	547	494
PPP3CB	526	540	709	682
PPP3CC	189	117	197	168
PPP3R1	267	253	367	313
PPP4C	1706	1218	1634	1452
PPP4R1	935	628	1010	919
PPP4R2	2149	1569	2591	2825
PPP4R4	106	80	115	95
PPP5C	1889	1487	1980	1818
PPP5D1	32	32	47	37
PPP6C	818	704	939	803
PPP6R1	1205	995	1177	967
PPP6R2	1090	908	1162	1064
PPP6R3	2675	2040	2857	2643
PPRC1	1463	1679	1967	1499
PPT1	1067	828	1057	948
PPT2	264	243	308	265
PPTC7	144	94	145	119
PPWD1	1204	781	1173	1157
PQBP1	878	590	739	798
PQLC1	123	78	90	86
PQLC2	81	37	79	81
PRADC1	56	30	46	44
PRAME	403	247	398	382
PRC1	4418	3249	4575	4253
PRCC	666	702	796	747
PRCP	721	444	716	620
PRDM10	263	226	283	242
PRDM11	56	72	86	65
PRDM15	243	249	278	271
PRDM16	27	24	41	38
PRDM2	412	591	576	483
PRDM4	696	578	762	617
PRDM5	160	107	171	146
PRDM6	59	35	68	50
PRDX1	9901	6300	9425	8679
PRDX2	2681	1922	2757	2632
PRDX3	3085	1964	3011	2481
PRDX4	2996	1996	3121	2891
PRDX5	730	528	842	883
PRDX6	3077	2168	3031	2895
PREB	903	667	944	898
PRELID1	4337	3102	4959	4642
PRELID2	54	46	72	61
PREP	692	628	795	715
PREPL	1190	1028	1395	1215
PREX1	87	95	100	109
PREX2	102	84	115	109
PRICKLE1	92	95	123	110
PRICKLE3	75	68	92	77
PRIM1	940	672	1002	804
PRIM2	720	508	706	675
PRKAA1	717	566	789	683
PRKAA2	646	443	731	685
PRKAB1	145	97	159	111
PRKAB2	91	61	99	69
PRKACA	182	393	377	287
PRKACB	282	238	312	282
PRKAG1	681	414	647	593
PRKAG2	70	80	108	97
PRKAR1A	1732	1237	1723	1808
PRKAR1B	268	199	273	299
PRKAR2A	1108	974	1293	1330
PRKAR2B	201	115	263	291
PRKCA	225	233	287	245
PRKCD	212	191	220	205
PRKCE	134	135	154	121
PRKCH	76	63	100	66
PRKCI	835	588	874	792
PRKCQ	109	69	100	100
PRKCSH	1427	1446	1570	1491
PRKCZ	288	245	289	269
PRKD1	228	161	237	224
PRKD2	234	247	300	242
PRKD3	1596	1285	1781	1563
PRKDC	28423	24203	33061	29194
PRKG1	156	120	178	167
PRKRA	565	366	565	441
PRKRIP1	215	153	191	210
PRKRIR	1412	1002	1430	1383
PRKX	152	110	193	172
PRMT1	4971	3114	4074	3402
PRMT10	435	382	572	520
PRMT2	634	472	707	680
PRMT3	1207	861	1308	1190
PRMT5	3128	2235	3084	2803
PRMT6	273	165	243	245
PRMT7	762	571	819	785
PRNP	225	149	212	150
PROCR	35	23	44	25
PROS1	180	116	201	173
PROSC	296	223	277	246
PROSER1	302	414	493	436
PROSER2	34	30	63	47
PRPF18	388	323	469	437
PRPF19	1678	1768	2013	1567
PRPF3	1830	1410	1852	1737
PRPF31	1515	1025	1391	1226
PRPF38A	1224	974	1300	1411
PRPF38B	1398	912	1084	1133
PRPF39	1175	899	1275	1169
PRPF4	1198	835	1152	1098
PRPF40A	5803	4370	6443	6100
PRPF40B	61	47	70	78
PRPF4B	3847	3089	4164	3893
PRPF6	2344	2089	2793	2702
PRPF8	12369	14432	16796	13743
PRPS1	2189	1661	2213	2088
PRPS2	859	547	825	780
PRPSAP1	323	285	400	369
PRPSAP2	1503	1076	1550	1330
PRR11	236	176	218	213
PRR12	162	251	351	268
PRR13	265	168	216	211
PRR14	167	226	274	230
PRR14L	3472	3202	4377	3777
PRR22	130	108	139	106
PRR3	125	122	127	104
PRR5-ARHGAP8	268	226	303	244
PRRC1	505	392	559	469
PRRC2A	3617	5026	5255	3954
PRRC2B	3397	4034	4631	4061
PRRC2C	9405	10285	11527	9300
PRRG1	58	30	43	39
PRRG4	26	45	45	34
PRRT3	39	31	49	36
PRSS12	106	80	125	104
PRSS23	115	66	131	95
PRSS53	30	29	38	29
PRTFDC1	235	141	225	204
PRTG	292	253	351	323
PRUNE	209	189	254	232
PRUNE2	39	35	49	49
PRX	70	46	67	85
PSAP	3387	2596	3597	3553
PSAT1	1738	1462	2029	1843
PSD3	702	529	714	692
PSEN1	461	361	422	388
PSEN2	424	340	480	467
PSENEN	127	98	166	129
PSIP1	1891	1149	1603	1468
PSKH1	198	154	191	162
PSMA1	2328	1553	2141	1807
PSMA2	2730	1747	2829	2575
PSMA3	1796	1246	1919	1852
PSMA4	4973	3277	4689	4277
PSMA5	2598	1725	2471	2294
PSMA6	1912	1273	1987	1783
PSMA7	2919	2078	3085	3087
PSMB1	2714	1732	2705	2472
PSMB10	147	97	155	172
PSMB2	1401	1053	1429	1287
PSMB3	1490	1076	1660	1599
PSMB4	4140	2951	4469	4063
PSMB5	2272	1458	2139	2067
PSMB6	1522	952	1332	1270
PSMB7	2111	1322	1837	1707
PSMC1	3333	2283	3230	3087
PSMC2	2347	1647	2596	2453
PSMC3	2936	2141	2831	2732
PSMC3IP	211	129	223	240
PSMC4	1634	1220	1737	1664
PSMC5	1549	1311	1609	1498
PSMC6	2222	1674	2628	2406
PSMD1	5351	3819	5535	5116
PSMD10	1197	803	1335	1291
PSMD11	1302	1046	1406	1238
PSMD12	1988	1599	2123	2117
PSMD13	1481	1116	1577	1498
PSMD14	1840	1319	2016	1904
PSMD2	3930	3244	4260	3949
PSMD3	2309	1707	2000	1744
PSMD4	2682	1973	3016	2993
PSMD6	3036	2066	3162	2922
PSMD7	2215	1615	2202	2013
PSMD8	2810	1765	2073	1611
PSMD9	543	405	616	589
PSME1	326	246	362	311
PSME2	476	334	456	376
PSME3	992	1060	1351	1318
PSME4	2776	3141	3977	3438
PSMF1	609	549	764	748
PSMG1	1916	1229	1816	1691
PSMG2	315	234	322	232
PSMG3	344	237	415	389
PSMG4	112	76	126	95
PSPC1	1550	1293	1742	1786
PSPH	327	284	384	339
PSRC1	217	157	255	272
PSTK	120	80	135	112
PSTPIP2	141	106	146	128
PTAR1	483	382	471	456
PTBP1	3500	3076	3529	3041
PTBP2	625	459	698	612
PTBP3	761	651	743	646
PTCD2	142	125	160	188
PTCD3	1805	1270	1970	1748
PTCH1	160	209	244	197
PTDSS1	1898	1439	1910	1619
PTDSS2	378	315	454	403
PTEN	744	558	729	694
PTER	236	191	279	298
PTGES2	589	410	596	588
PTGES3	2449	1936	2513	2641
PTGES3L-AARSD1	525	374	556	523
PTGFRN	692	574	796	797
PTGR2	118	98	159	140
PTGS2	28	18	39	21
PTK2	1526	1221	1732	1587
PTK2B	29	37	28	26
PTK7	892	709	821	715
PTMA	8707	6983	10897	13266
PTMS	157	201	323	419
PTOV1	1050	891	1006	799
PTP4A1	586	763	852	831
PTP4A2	1254	910	1391	1398
PTPDC1	222	173	259	229
PTPLA	72	59	96	102
PTPLAD1	2306	1592	2185	1815
PTPLB	292	210	250	212
PTPMT1	399	220	406	314
PTPN1	660	460	641	604
PTPN11	2319	1749	2362	2400
PTPN12	295	335	368	327
PTPN13	3052	2360	3199	2826
PTPN14	374	428	519	448
PTPN18	77	70	99	67
PTPN2	551	404	545	491
PTPN21	106	96	151	133
PTPN23	226	445	527	378
PTPN3	306	233	329	286
PTPN4	636	510	660	588
PTPN9	423	342	467	388
PTPRA	977	866	926	887
PTPRD	64	53	71	70
PTPRF	1495	1508	1836	1431
PTPRG	777	671	923	821
PTPRJ	207	201	236	198
PTPRK	817	663	885	748
PTPRM	154	168	181	134
PTPRS	1209	1370	1536	1323
PTPRU	919	752	914	756
PTRF	33	39	54	46
PTRH2	317	217	324	354
PTRHD1	211	120	165	171
PTS	329	180	346	349
PTTG1	1286	875	1333	1201
PTTG1IP	357	300	428	424
PUF60	2751	1907	2480	2327
PUM1	3250	2741	3306	2887
PUM2	1602	1500	1887	1636
PURA	123	120	139	126
PURB	48	37	67	72
PUS1	491	445	486	460
PUS10	70	51	92	69
PUS3	408	278	412	376
PUS7	1587	1292	1760	1597
PUS7L	715	563	887	867
PUSL1	423	332	539	575
PVR	273	214	294	244
PVRIG	67	68	62	62
PVRL1	40	52	64	56
PVRL2	212	201	278	243
PVRL3	776	523	720	632
PWP1	1812	1263	1899	1666
PWP2	2197	1582	2393	2106
PWWP2A	467	401	539	450
PWWP2B	39	32	57	49
PXDN	262	232	322	268
PXK	345	263	371	330
PXMP2	179	133	215	201
PXN	78	109	103	84
PYCR1	715	541	658	623
PYCR2	1076	769	1047	896
PYCRL	147	109	174	142
PYGB	1061	857	1153	996
PYGL	6201	4763	6518	6317
PYGO1	114	72	94	93
PYGO2	262	234	257	267
PYROXD1	161	138	196	192
PYURF	156	83	185	174
QARS	3197	2272	2999	2678
QDPR	87	56	80	106
QKI	967	773	1050	987
QPCT	79	45	64	51
QPCTL	167	126	133	129
QPRT	98	86	137	122
QRFPR	58	56	79	63
QRICH1	1838	1463	1703	1411
QRICH2	168	178	201	189
QRSL1	635	512	712	652
QSER1	2625	2870	3561	2769
QSOX1	260	240	316	278
QSOX2	483	478	603	568
QTRT1	506	403	506	429
QTRTD1	890	682	941	868
R3HCC1	378	286	386	403
R3HCC1L	513	427	593	574
R3HDM1	653	749	747	617
R3HDM2	263	366	367	305
R3HDM4	120	121	156	152
RAB10	723	536	733	649
RAB11A	1299	915	1410	1366
RAB11B	66	74	93	89
RAB11FIP1	561	462	594	505
RAB11FIP2	527	409	589	530
RAB11FIP3	257	260	346	330
RAB11FIP4	179	165	221	234
RAB11FIP5	131	121	136	128
RAB12	222	196	270	264
RAB13	217	194	219	255
RAB14	341	312	393	429
RAB18	344	207	323	357
RAB1A	632	451	613	577
RAB1B	423	365	484	405
RAB21	345	246	350	305
RAB22A	132	103	172	135
RAB23	251	178	252	251
RAB24	263	204	289	280
RAB27A	29	34	45	38
RAB28	205	155	256	258
RAB2A	383	254	344	325
RAB2B	85	87	103	82
RAB31	127	91	121	121
RAB32	162	99	153	126
RAB33B	136	94	106	91
RAB34	278	203	303	277
RAB35	532	338	447	429
RAB36	42	43	65	50
RAB39A	67	49	92	69
RAB39B	34	20	37	38
RAB3D	37	30	50	37
RAB3GAP1	1863	1330	1954	1862
RAB3GAP2	1871	1493	2162	1970
RAB3IP	365	289	436	375
RAB40A	30	37	49	38
RAB40AL	37	45	58	42
RAB40B	78	60	69	74
RAB40C	82	46	76	62
RAB43	29	24	47	28
RAB4A	565	357	616	569
RAB5A	322	243	313	288
RAB5B	214	191	248	205
RAB5C	704	678	734	627
RAB6A	306	296	275	287
RAB6C	39	39	31	38
RAB7A	386	407	446	399
RAB7L1	117	125	140	125
RAB8A	619	469	583	542
RAB8B	55	44	60	65
RAB9A	244	155	267	248
RAB9B	27	19	38	43
RABAC1	499	324	528	501
RABEP1	2072	1596	2170	2051
RABEP2	137	119	118	159
RABEPK	757	506	678	594
RABGAP1	1052	869	1226	1151
RABGAP1L	710	571	825	823
RABGEF1	462	379	472	447
RABGGTA	264	199	263	220
RABGGTB	3050	2213	3504	3180
RABIF	90	87	98	98
RABL2A	85	89	110	69
RABL2B	103	99	132	81
RABL3	162	128	199	176
RABL5	225	159	241	199
RABL6	2143	1701	2174	2100
RAC1	899	656	914	880
RAC3	635	454	663	554
RACGAP1	1662	1301	1790	1781
RAD1	303	223	360	316
RAD17	544	427	620	554
RAD18	916	718	954	849
RAD21	2782	2408	3354	3161
RAD23A	734	667	899	736
RAD23B	3043	2131	2851	2755
RAD50	2305	2039	2730	2546
RAD51	221	151	209	229
RAD51AP1	581	392	684	605
RAD51B	230	166	295	291
RAD51C	788	516	720	637
RAD51D	41	38	26	43
RAD52	111	105	137	95
RAD54B	734	571	816	769
RAD54L	517	637	800	714
RAD54L2	1430	1504	1747	1507
RAD9A	99	81	87	74
RADIL	136	119	153	124
RAE1	992	774	1038	908
RAF1	2356	1735	2137	1783
RAI1	523	666	837	636
RAI14	960	849	1062	960
RALA	238	217	260	289
RALB	105	76	125	78
RALBP1	880	700	1017	1018
RALGAPA1	2236	1908	2638	2223
RALGAPA2	759	711	980	841
RALGAPB	1146	1041	1373	1353
RALGDS	602	463	631	512
RALGPS1	74	89	95	87
RALGPS2	458	341	503	454
RALY	770	591	747	668
RAMP1	36	29	30	30
RAN	13526	9341	14276	13785
RANBP1	5679	4273	6564	6489
RANBP10	115	105	124	112
RANBP17	887	590	953	772
RANBP2	15180	11683	16828	16065
RANBP3	713	577	708	669
RANBP6	784	512	902	778
RANBP9	869	754	1005	847
RANGAP1	3268	2547	3289	3238
RANGRF	214	138	220	184
RAP1A	312	306	401	363
RAP1B	833	569	847	847
RAP1GAP	32	37	46	33
RAP1GAP2	98	87	110	77
RAP1GDS1	840	667	891	769
RAP2A	215	145	233	218
RAP2B	133	93	129	115
RAP2C	381	289	441	426
RAPGEF1	593	565	625	535
RAPGEF2	658	537	604	565
RAPGEF4	226	166	203	195
RAPGEF5	195	183	248	227
RAPGEF6	1509	1151	1681	1532
RAPH1	159	236	297	231
RARA	79	70	79	72
RARB	175	122	170	155
RARG	57	41	67	45
RARS	5264	3529	5789	5583
RARS2	886	649	933	808
RASA1	457	308	431	380
RASA2	340	301	359	373
RASA3	72	60	64	61
RASA4	103	89	122	91
RASA4B	92	72	104	75
RASAL2	554	522	719	529
RASEF	542	438	608	557
RASGEF1A	110	65	109	100
RASGEF1B	202	175	204	203
RASGRF2	37	30	48	40
RASGRP1	34	32	45	45
RASL11A	89	49	72	56
RASSF1	175	120	141	153
RASSF2	24	25	25	29
RASSF3	128	83	124	116
RASSF7	78	54	65	73
RASSF8	184	155	201	203
RAVER1	437	683	724	601
RAVER2	865	749	1032	941
RB1	1251	1067	1378	1231
RB1CC1	3115	2514	3596	3372
RBAK	755	705	805	792
RBBP4	4187	3772	5545	5143
RBBP5	762	614	790	714
RBBP6	2725	2467	2892	2549
RBBP7	4597	3150	4276	3943
RBBP8	1405	1045	1354	1310
RBBP9	69	56	102	74
RBCK1	134	121	143	137
RBFA	314	246	363	355
RBFOX2	570	444	624	511
RBKS	28	20	35	26
RBL1	970	702	1051	1015
RBL2	1044	833	1293	1169
RBM10	1515	1220	1582	1422
RBM11	85	49	82	57
RBM12	3771	2746	3675	3203
RBM12B	1135	910	1321	1247
RBM14	1339	1073	1149	1022
RBM15	2481	2015	2688	2448
RBM15B	1306	982	1268	1163
RBM17	1596	880	1403	1450
RBM18	186	143	170	139
RBM19	1244	1084	1330	1155
RBM20	225	278	311	274
RBM22	1219	863	1045	997
RBM23	899	780	1108	1070
RBM25	2916	1869	2523	2537
RBM26	2183	1764	2454	2371
RBM27	1992	1444	1827	1553
RBM28	1603	1343	1864	1856
RBM3	2534	1758	2160	1884
RBM33	551	716	936	798
RBM34	1662	1133	1875	1692
RBM38	124	68	75	51
RBM39	5676	4108	5465	5056
RBM41	578	467	692	679
RBM42	717	540	757	697
RBM45	305	185	345	298
RBM48	210	189	200	208
RBM4B	833	603	945	844
RBM5	2022	1806	2233	1943
RBM6	2153	1748	2206	2051
RBM7	186	134	194	190
RBM8A	2783	2040	3206	3377
RBMS1	364	200	278	199
RBMS2	70	69	83	56
RBMX	7035	5083	7835	7382
RBMX2	796	638	776	764
RBMXL1	1362	1018	1645	1679
RBP1	53	41	56	58
RBPJ	686	565	704	605
RBX1	827	492	864	813
RC3H1	1063	986	1141	995
RC3H2	1783	1446	1915	1686
RCAN1	100	81	103	95
RCAN3	79	51	90	97
RCBTB1	466	353	515	456
RCBTB2	139	97	110	89
RCC1	3419	2769	3613	3393
RCC2	2253	1972	2774	2546
RCCD1	166	141	231	199
RCE1	119	89	99	81
RCHY1	411	262	420	429
RCL1	510	387	489	535
RCN1	1206	1093	1490	1450
RCN2	1695	1273	1799	1700
RCOR1	312	293	392	290
RCOR3	381	335	437	352
RDH10	643	554	811	754
RDH11	735	437	673	608
RDH13	193	145	194	185
RDM1	50	41	56	50
RDX	1804	1387	1889	1937
RECK	157	137	166	160
RECQL	1068	721	1131	1019
RECQL4	959	757	947	765
RECQL5	333	305	418	389
REEP1	44	43	48	44
REEP2	122	66	118	94
REEP3	351	241	355	332
REEP4	112	99	139	99
REEP5	564	348	585	561
REL	203	217	265	259
RELA	243	233	256	197
RELL1	103	81	102	88
RELL2	34	34	45	33
RELT	152	128	162	141
REPIN1	379	261	357	363
REPS1	1221	959	1163	948
RER1	446	337	442	416
RERE	307	416	495	360
REST	1065	965	1215	1038
RETSAT	367	259	357	345
REV1	1060	790	1084	964
REV3L	2960	2756	3514	3073
REXO1	333	391	407	344
REXO2	577	364	651	679
REXO4	588	450	623	626
RFC1	2382	1783	2360	2190
RFC2	1384	1028	1331	1157
RFC3	1706	1296	1999	1804
RFC4	900	688	1076	1030
RFC5	1035	750	1091	920
RFESD	64	43	43	57
RFFL	46	36	48	41
RFK	303	192	402	394
RFNG	111	73	101	82
RFT1	935	735	905	865
RFTN1	34	28	33	42
RFWD2	1119	821	1180	1112
RFWD3	1631	1261	1596	1399
RFX1	79	95	116	92
RFX2	38	32	35	35
RFX3	34	45	48	41
RFX5	959	715	983	899
RFX7	240	359	390	288
RFXANK	222	153	230	221
RFXAP	58	51	95	84
RGL1	78	76	88	76
RGL2	151	117	151	137
RGMA	79	85	109	102
RGMB	154	152	165	152
RGP1	201	197	236	150
RGPD1	6542	4967	7930	7343
RGPD3	4799	3742	5833	5565
RGPD4	4378	3440	5420	5096
RGPD6	11302	9166	14278	13316
RGPD8	5629	4534	7107	6664
RGS10	160	93	171	183
RGS12	154	134	195	180
RGS14	33	32	60	58
RGS16	43	32	53	40
RGS17	33	28	36	36
RGS19	44	46	66	47
RGS2	91	55	63	61
RHBDD1	164	148	192	161
RHBDD2	247	172	206	180
RHBDD3	186	153	182	142
RHBDF1	39	19	29	32
RHBDF2	67	76	98	64
RHBDL1	48	32	40	57
RHEB	902	635	1007	867
RHNO1	420	286	386	342
RHOA	3835	3205	4215	4200
RHOB	242	168	233	217
RHOBTB1	130	104	157	150
RHOBTB2	58	56	64	42
RHOBTB3	489	392	489	484
RHOC	159	127	206	166
RHOG	72	58	72	58
RHOQ	292	187	297	316
RHOT1	367	292	415	387
RHOT2	716	521	725	694
RHOU	61	42	62	63
RHPN1	155	147	170	184
RHPN2	440	321	417	358
RIBC2	46	29	45	38
RIC8A	907	668	937	823
RIC8B	242	203	251	232
RICTOR	1071	816	1164	1047
RIF1	7670	6185	8550	8075
